"","gene_id_all","niche","effect_median","effect_lower","effect_upper","OR_median","OR_lower","OR_upper","prob_median","prob_lower","prob_upper"
"86","NZ_OP290545.1_1","nichedomesticatedanimal",-0.0446931836,-0.76712974275,0.588834977375,0.956290842541411,0.464343944050494,1.80188795186014,0.0665753736894623,0.0329279104858389,0.120817266330514
"87","AP018569.2_107","nicheBacteria",-0.04596833665,-0.956954145,0.7394548464,0.955072202577373,0.384060900100429,2.0947932192505,0.0488890503212768,0.0201928091203969,0.101733103720181
"88","CP034325.1_174","nichelivestock",-0.047005339,-0.5681082888,0.445951798025,0.954082303732638,0.566596262471825,1.5619761748457,0.033502744628292,0.0205505720145875,0.0518622149360197
"89","NZ_MN732922.1_254","nichewildlife",-0.0551319205,-0.7257160306,0.545076587725,0.946360295395299,0.48397790187059,1.72474047211561,0.0136806496100033,0.00685391487843368,0.0248001728130486
"90","CP034325.1_175","nichelivestock",-0.063781189,-0.576531076525,0.4097963525,0.938210267870184,0.561843983826985,1.50651095670229,0.0368514643359018,0.0229305220215137,0.0559923559043945
"91","AP019386.1_109","nichedomesticatedanimal",-0.065332668,-1.4088839795,0.7465017605,0.936755783688179,0.244415905248714,2.10960718287345,0.0217444517295197,0.00582090682713175,0.0497500247807917
"92","NZ_CP139811.1_48","nicheBacteria",-0.0674290225,-0.9884572905,0.595419852995,0.93479406778834,0.372150368874002,1.81379231128311,0.0598465783735613,0.0246154734862353,0.111543007333841
"93","NZ_CP019353.1_215","nichefood",-0.06861045955,-0.562955357725,0.351679704025,0.933690319394819,0.569523428912073,1.42145316522782,0.0841896524061771,0.052475764779227,0.125980824817674
"94","AP019386.1_110","nicheBacteria",-0.0698240965,-1.31324370875,0.801409514749998,0.932557845878663,0.268946265789346,2.22868009083705,0.0130515760943471,0.0037282853570971,0.0317914801490203
"95","CP034325.1_175","nichewastewater",-0.0715428495,-0.606417082,0.43136850465,0.930956385743488,0.545301147219728,1.53936270809398,0.0366236349653702,0.0214675768122608,0.0591872563415486
