effect_size_posterior_median_95CI,Odds Ratio Posterior Median (95% CI),Probability Posterior Median (95% CI)
-0.455622 [-4.45019; 1.06438],0.634054 [0.0116764; 2.89903],0.0224441 [0.000418467; 0.0977486]
-0.467761 [-4.74618; 1.10043],0.626403 [0.00868479; 3.00545],0.0177542 [0.000245155; 0.08172]
-0.477105 [-5.20929; 1.16311],0.620577 [0.00546555; 3.19988],0.0261334 [0.000241663; 0.122783]
-0.480795 [-5.2287; 1.20865],0.618292 [0.00536047; 3.34898],0.0244375 [0.000213962; 0.120484]
-0.488784 [-6.06327; 1.50223],0.613372 [0.00232678; 4.49171],0.014307 [5.56252e-05; 0.0990913]
-0.491412 [-5.32989; 1.15788],0.611762 [0.00484461; 3.18318],0.0117475 [9.17725e-05; 0.0597551]
-0.491474 [-5.01543; 1.15684],0.611724 [0.00663478; 3.17987],0.0138386 [0.00015289; 0.0693959]
-0.494366 [-5.62141; 1.30011],0.609957 [0.00361955; 3.66969],0.00837878 [4.92582e-05; 0.0493436]
-0.498734 [-6.01462; 1.40256],0.607299 [0.00244277; 4.06558],0.00853312 [3.46633e-05; 0.0553335]
-0.506867 [-5.83855; 1.36327],0.60238 [0.00291307; 3.90895],0.00756398 [3.54433e-05; 0.048]
-0.507793 [-1.37561; 0.249877],0.601822 [0.252686; 1.28387],0.00850827 [0.00353181; 0.0181212]
-0.511293 [-1.44362; 0.165117],0.59972 [0.236073; 1.17953],0.00845842 [0.00331198; 0.0167965]
-0.511947 [-1.55351; 0.178822],0.599328 [0.211505; 1.19581],0.0152067 [0.00548351; 0.031313]
-0.512608 [-5.50199; 1.18845],0.598931 [0.00407865; 3.282],0.0250942 [0.000172325; 0.12632]
-0.514961 [-5.65866; 1.43393],0.597524 [0.0034872; 4.19516],0.0140811 [8.54651e-05; 0.093235]
-0.514998 [-1.13821; 0.0310986],0.597502 [0.320393; 1.03159],0.0312496 [0.0168263; 0.0531483]
-0.520174 [-5.60311; 1.17847],0.594417 [0.00368639; 3.24938],0.00857981 [5.1894e-05; 0.0463591]
-0.520803 [-5.42658; 1.11566],0.594043 [0.00439812; 3.05159],0.0311368 [0.00023488; 0.143771]
-0.522174 [-5.61345; 1.29789],0.593229 [0.00364847; 3.66155],0.0150299 [9.36414e-05; 0.0873219]
-0.52742 [-5.52042; 1.2693],0.590126 [0.00400416; 3.55836],0.00831737 [5.60034e-05; 0.0501401]
-0.531352 [-1.12494; 0.00165454],0.587809 [0.324671; 1.00166],0.024838 [0.0140693; 0.0404591]
-0.588445 [-1.49961; 0.0401701],0.55519 [0.223217; 1.04099],0.0290934 [0.0119812; 0.0542527]
-0.605992 [-1.24139; -0.0964654],0.545533 [0.288983; 0.908041],0.0285924 [0.0156401; 0.0467283]
-0.641046 [-1.65791; 0.0223959],0.526741 [0.190537; 1.02265],0.0133991 [0.00491576; 0.0259913]
-0.648123 [-1.5905; 0.0202952],0.523027 [0.203824; 1.0205],0.012341 [0.00487102; 0.0243151]
-0.651468 [-1.3594; -0.0912268],0.52128 [0.256816; 0.912811],0.021924 [0.0110253; 0.0376728]
-0.701001 [-1.79419; 0.00342197],0.496088 [0.166262; 1.00343],0.0208344 [0.00710492; 0.0418857]
-0.734892 [-1.41325; -0.148159],0.479557 [0.243351; 0.862294],0.0191233 [0.00988627; 0.0329105]
-0.789883 [-1.61251; -0.166636],0.453898 [0.199387; 0.846507],0.0190554 [0.00851515; 0.0356176]
-0.800454 [-2.163; 0.0435921],0.449125 [0.11498; 1.04456],0.010569 [0.0027728; 0.0249968]
-1.04459 [-2.15791; -0.26832],0.351836 [0.115566; 0.764663],0.00838075 [0.00276279; 0.0179521]
-1.12265 [-2.38037; -0.148475],0.325415 [0.0925162; 0.862021],0.00464078 [0.0013582; 0.0116017]
-1.13305 [-2.38031; -0.307333],0.322051 [0.092522; 0.735406],0.00822713 [0.00240459; 0.0189011]
-1.25055 [-2.56177; -0.375805],0.286348 [0.077168; 0.686736],0.00678194 [0.00187957; 0.0162172]
-1.4909 [-2.36795; -0.749679],0.22517 [0.0936723; 0.472518],0.00956007 [0.0040601; 0.019605]
-1.51003 [-2.3308; -0.832978],0.220904 [0.0972182; 0.434753],0.0117798 [0.00532318; 0.0225279]
-1.91232 [-3.42787; -0.869541],0.147738 [0.0324559; 0.419144],0.00380522 [0.000843957; 0.0104089]
-2.27337 [-3.99133; -1.11053],0.102964 [0.0184751; 0.329384],0.00245675 [0.000450665; 0.00756153]
