effect_size_posterior_median_95CI,Odds Ratio Posterior Median (95% CI) ,Probability Posterior Median (95% CI) 
"-0.413726 [-5.47797,  1.52824]","0.661182 [0.00417782,  4.61007]","0.00908106 [5.78e-05, 0.0605821]"
"-0.415236 [-1.13036,  0.150812]","0.660185 [0.322917,  1.16278]","0.0260958 [0.0130951,  0.0441549]"
"-0.417647 [-4.17419,  1.06785]","0.658595 [0.0153877,  2.90912]","0.0611597 [0.00150842,  0.223776]"
"-0.421524 [-4.14706,  1.04325]","0.656046 [0.0158108,  2.83842]","0.0700631 [0.00181953,  0.24657]"
"-0.451439 [-4.51096,  1.07113]","0.636711 [0.0109879,  2.91866]","0.0252273 [0.00045303,  0.108034]"
"-0.456133 [-4.56719,  1.07905]","0.633729 [0.0103871,  2.94188]","0.0224833 [0.00037092,  0.0977783]"
"-0.475244 [-4.92218,  1.10852]","0.621734 [0.00728325,  3.02986]","0.0176402 [0.0002054,  0.0811605]"
"-0.481338 [-5.36423,  1.15598]","0.617956 [0.00468108,  3.17715]","0.0258701 [0.0002022,  0.121159]"
"-0.491965 [-6.38887,  1.50594]","0.611424 [0.00168015,  4.50841]","0.014278 [3.99e-05,  0.0991822]"
"-0.493691 [-5.3921,  1.20119]","0.610369 [0.00455242,  3.32408]","0.011751 [8.79e-05,  0.0620623]"
"-0.494818 [-5.39779,  1.2125]","0.609682 [0.0045266,  3.36187]","0.024109 [0.00017925,  0.119548]"
"-0.500952 [-6.12201,  1.38866]","0.605953 [0.00219405,  4.00949]","0.00851143 [3.02e-05,  0.0551672]"
"-0.501113 [-5.67441,  1.30585]","0.605856 [0.00343268,  3.69081]","0.00829023 [4.73e-05,  0.0499285]"
"-0.502485 [-5.18324,  1.1343]","0.605026 [0.00560979,  3.10899]","0.0137525 [0.00012666,  0.0683235]"
"-0.505081 [-5.95059,  1.38408]","0.603457 [0.00260431,  3.99116]","0.00752829 [3.21e-05,  0.0490181]"
"-0.510346 [-1.54492,  0.18347]","0.600288 [0.213329,  1.20138]","0.0151988 [0.00558915,  0.0306328]"
"-0.511362 [-1.38156,  0.257822]","0.599679 [0.251186,  1.29411]","0.00850403 [0.00357047,  0.0179446]"
"-0.511807 [-5.68735,  1.18633]","0.599411 [0.00338855,  3.27504]","0.0251362 [0.00014728,  0.125527]"
"-0.512854 [-1.13237,  0.0227475]","0.598785 [0.322268,  1.02301]","0.031266 [0.0174382,  0.0515951]"
"-0.51421 [-1.4385,  0.159907]","0.597973 [0.237285,  1.1734]","0.00841285 [0.00339286,  0.0162927]"
"-0.515619 [-5.69256,  1.41116]","0.597131 [0.00337094,  4.10072]","0.014032 [8.19e-05,  0.0919432]"
"-0.527185 [-5.69905,  1.23399]","0.590264 [0.00334914,  3.43491]","0.00855721 [4.88e-05,  0.0491332]"
"-0.528274 [-5.82235,  1.27552]","0.589622 [0.00296065,  3.58055]","0.00826613 [4.27e-05,  0.0501648]"
"-0.531143 [-1.12884,  -0.0065122]","0.587933 [0.323408,  0.993509]","0.0247558 [0.0142776,  0.0393353]"
"-0.532611 [-5.72121,  1.30888]","0.58707 [0.00327573,  3.70204]","0.0149436 [8.44e-05,  0.089955]"
"-0.534478 [-5.48355,  1.06599]","0.585975 [0.00415456,  2.90373]","0.0304566 [0.00022134,  0.137667]"
"-0.593529 [-1.47731, 0.0420343]","0.552375 [0.22825,  1.04293]","0.0289418 [0.0121882,  0.0531817]"
"-0.605432 [-1.2423,  -0.0940914]","0.545839 [0.288718,  0.9102]","0.0286138 [0.0157012,  0.0459489]"
"-0.635559 [-1.6654,  0.0248638]","0.529639 [0.189116,  1.02518]","0.0135094 [0.00496356,  0.0256829]"
"-0.648021 [-1.59501,  0.0197096]","0.52308 [0.202906,  1.01991]","0.0123118 [0.00498269,  0.0237634]"
"-0.651315 [-1.35692,  -0.0972284]","0.52136 [0.257452,  0.907349]","0.021881 [0.0112155,  0.036611]"
"-0.698369 [-1.7811,  0.0171672]","0.497396 [0.168453,  1.01732]","0.0208985 [0.00729345,  0.0417286]"
"-0.735281 [-1.42274,  -0.139871]","0.479371 [0.241053,  0.869471]","0.0191353 [0.0100361,  0.0322073]"
"-0.789351 [-1.59924,  -0.16811]","0.45414 [0.20205,  0.845261]","0.0191112 [0.00878487,  0.0345582]"
"-0.801282 [-2.16885,  0.0432693]","0.448753 [0.114309,  1.04422]","0.0106295 [0.00278526,  0.0247497]"
"-1.03651 [-2.14583,  -0.271487]","0.354691 [0.116971, 0.762245]","0.00839173 [0.0028519,  0.0176266]"
"-1.12224 [-2.39163,  -0.167979]","0.325548 [0.0914805,  0.845372]","0.00461838 [0.00136309,  0.0112248] "
"-1.14252 [-2.39894,  -0.314158]","0.319015 [0.0908138,  0.730404]","0.00819431 [0.00238313,  0.01843]"
"-1.25754 [-2.55859,  -0.37328]","0.284352 [0.0774134,  0.688472]","0.00673838 [0.00187158,  0.0162202]"
"-1.48314 [-2.36767,  -0.765117]","0.226924 [0.093699,  0.465279]","0.00966975 [0.00414049,  0.0188627]"
"-1.50871 [-2.32652,  -0.832445]","0.221195 [0.0976348,  0.434984]","0.0118389 [0.00538524,  0.0221042]"
"-1.91996 [-3.45143,  -0.876938]","0.146613 [0.0317002,  0.416055]","0.00380098 [0.00085525,  0.0101943]"
"-2.27473 [-3.99459,  -1.11025]","0.102825 [0.018415,  0.329475]","0.00245692 [0.0004613,  0.007461]"
